City,Latitude,Longitude
Delhi,28.6273928,77.1716954
Mumbai,18.9733536,72.82810491917377
Bangalore,12.9767936,77.590082
Hyderabad,17.360589,78.4740613
Kolkata,22.5726459,88.3638953
Chennai,13.0836939,80.270186
Pune,18.5213738,73.8545071
Ahmedabad,23.0215374,72.5800568
Jaipur,26.9154576,75.8189817
Lucknow,26.8381,80.9346001
Surat,21.2094892,72.8317058
Kanpur,26.4609135,80.3217588
Nagpur,21.1498134,79.0820556
Visakhapatnam,17.7231276,83.3012842
Bhopal,23.2584857,77.401989
Patna,25.6093239,85.1235252
Vadodara,22.2973142,73.1942567
Agra,27.1752554,78.0098161
Nashik,20.0112475,73.7902364
Vijayawada,16.5087573,80.6185089
Coimbatore,11.0018115,76.9628425
Indore,22.7203616,75.8681996
Thane,19.1943294,72.9701779
Ludhiana,30.9090157,75.851601
Madurai,9.9261153,78.1140983
Bhubaneswar,20.2602964,85.8394521
Amritsar,31.6356659,74.8787496
Varanasi,25.3356491,83.0076292
Raipur,21.2380912,81.6336993
Aurangabad,24.80332005,84.41101977690866
Ranchi,23.3700501,85.3250387
Jodhpur,26.2967719,73.0351433
Guwahati,26.1805978,91.753943
Chandigarh,30.7334421,76.7797143
Mysore,12.3051828,76.6553609
Gwalior,26.2037247,78.1573628
Noida,28.5706333,77.3272147
Faridabad,28.4031478,77.3105561
Ghaziabad,28.7749966,77.4586967071196
Meerut,29.0018557,77.76796714992041
Rajkot,22.3053263,70.8028377
Dhanbad,23.7952809,86.4309638
Jalandhar,31.29223115,75.56788777097373
Kota,25.1737019,75.8574194
Bareilly,28.45823445,79.40474517998476
Bikaner,28.0159286,73.3171367
Agartala,23.8312377,91.2823821
Jammu,32.7185614,74.8580917
Udaipur,24.578721,73.6862571
Dehradun,30.3255646,78.0436813
Allahabad,25.4381302,81.8338005
Srinagar,34.0747444,74.8204443
Mangalore,12.8698101,74.8430082
